time,q_[0],q_[1],q_[2],q_[3],q_[4],q_[5],q_[6],q_[7],desired_q_[0],desired_q_[1],desired_q_[2],desired_q_[3],desired_q_[4],desired_q_[5],desired_q_[6],desired_q_[7],desired_torque_[0],desired_torque_[1],desired_torque_[2],desired_torque_[3],desired_torque_[4],desired_torque_[5],desired_torque_[6],desired_torque_[7]
0.2133,-0.0349,0.6051,-1.2630,0.6873,-0.0291,0.4996,-1.0273,0.5886,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,-2.5000,2.5000,-0.0100,2.5000,2.5000,2.5000,0.0032
0.2200,-0.0567,0.6818,-1.6186,0.8034,-0.0285,0.5021,-1.0462,0.6080,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,-2.5000,2.5000,0.0100,2.5000,2.5000,2.5000,0.0047
0.2267,-0.0136,0.6767,-1.6786,0.6863,-0.0008,0.5042,-1.0556,0.5917,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,-0.0009,-2.5000,2.5000,2.5000,0.0067
0.2333,0.0547,0.6230,-1.4657,0.7287,0.0322,0.5134,-1.0622,0.5571,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,0.0047,2.5000,-2.5000,2.5000,0.0085
0.2400,0.0748,0.5276,-0.9727,0.5615,0.0337,0.5282,-1.0629,0.4698,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,0.0100,2.5000,-2.5000,2.5000,0.0100
0.2467,0.0775,0.4234,-0.5741,0.2301,0.0296,0.5165,-1.0501,0.3934,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,0.0100,2.5000,-2.5000,2.5000,0.0100
0.2533,0.0736,0.3614,-0.4028,0.0808,0.0223,0.4838,-1.0316,0.3450,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,-1.9796,0.0100,2.5000,0.2068,2.5000,0.0100
0.2600,0.0664,0.3286,-0.3659,0.0262,0.0139,0.4373,-1.0131,0.3241,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,-1.9796,0.0100,2.5000,0.2068,2.5000,0.0100
0.2667,0.0579,0.3241,-0.4250,0.0299,0.0062,0.3865,-0.9988,0.3167,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,0.0100,2.5000,2.5000,2.5000,0.0100
0.2733,0.0490,0.3322,-0.5325,0.0660,0.0006,0.3354,-0.9901,0.3150,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,0.0100,2.5000,2.5000,2.5000,0.0100
0.2800,0.0402,0.3239,-0.6147,0.0970,-0.0015,0.2944,-0.9897,0.3956,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,0.9729,2.5000,0.0100,2.5000,2.5000,-2.5000,0.0075
0.2867,0.0256,0.3124,-0.6782,0.0801,0.0050,0.2980,-1.1064,0.4949,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,0.9729,2.5000,0.0100,2.5000,2.5000,-2.5000,-0.0098
0.2933,-0.0167,0.3258,-0.7318,0.0541,0.0217,0.4076,-1.5735,0.7298,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,-2.5000,2.5000,0.0100,-2.5000,-2.5000,2.5000,-0.0029
0.3000,-0.0557,0.3418,-0.7733,0.4762,0.0293,0.5226,-2.0783,0.5480,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,-2.5000,2.5000,-0.0100,-2.5000,-2.5000,2.5000,0.0100
0.3067,-0.0702,0.3215,-0.8002,0.6856,0.0151,0.5375,-2.2753,0.3301,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,2.5000,2.5000,-0.0034,-2.5000,2.5000,2.5000,0.0100
0.3133,-0.0673,0.2963,-0.8212,0.6827,-0.0254,0.5130,-2.2249,0.4985,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,0.0082,2.5000,2.5000,2.5000,-0.0093
0.3200,-0.0412,0.3141,-0.8430,0.6398,-0.0490,0.5262,-1.9561,0.7101,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,-0.0040,2.5000,2.5000,2.5000,0.0067
0.3267,-0.0219,0.3749,-0.8633,0.6956,-0.0454,0.5406,-1.4576,0.6530,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,0.0053,2.5000,-2.5000,2.5000,0.0012
0.3333,-0.0100,0.4462,-0.8778,0.6897,-0.0130,0.4787,-0.7457,0.7713,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,-0.0052,2.5000,-2.5000,2.5000,-0.0100
0.3400,-0.0133,0.4740,-0.8839,0.7189,0.0343,0.4118,-0.3453,0.9646,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,-0.0624,0.0065,2.5000,-2.5000,2.5000,-0.0091
0.3467,-0.0189,0.4579,-0.8907,0.6629,0.0595,0.3567,-0.1946,0.8090,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,-0.0624,-0.0033,2.5000,-2.5000,2.5000,0.0100
0.3533,-0.0225,0.3993,-0.9083,0.7367,0.0688,0.2909,-0.1801,0.7646,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,-0.5078,0.0005,2.5000,-2.5000,-2.5000,-0.0100
0.3600,-0.0246,0.3257,-0.9699,0.7284,0.0695,0.2255,-0.3190,1.1131,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,-0.5078,-0.0011,2.5000,-2.5000,-2.5000,-0.0100
0.3667,-0.0259,0.3064,-1.1621,0.7778,0.0661,0.2101,-0.7715,1.1774,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,-0.0036,-2.5000,2.5000,2.5000,-0.0087
0.3733,-0.0269,0.3174,-1.3424,0.6835,0.0507,0.1860,-1.2706,0.7590,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,0.0100,2.5000,2.5000,2.5000,0.0100
0.3800,-0.0270,0.3329,-1.2812,0.4338,0.0184,0.1557,-1.5156,-0.0129,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,0.0100,2.5000,2.5000,2.5000,0.0100
0.3867,-0.0259,0.3460,-0.9915,0.5602,0.0036,0.1445,-1.5456,-0.4199,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,-0.0100,2.5000,2.5000,2.5000,0.0100
0.3933,-0.0244,0.3847,-0.7787,0.9404,0.0150,0.1458,-1.3612,-0.4447,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,-0.0100,2.5000,2.5000,2.5000,0.0100
0.4000,-0.0234,0.4245,-0.6810,0.8702,0.0269,0.1518,-0.9784,-0.0730,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,-2.5000,0.0100,2.5000,-2.5000,1.8329,-0.0073
0.4067,-0.0233,0.4684,-0.7183,0.6680,0.0328,0.1839,-0.7198,0.6866,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,-2.5000,-0.0046,2.5000,-2.5000,1.8329,-0.0100
0.4133,-0.0236,0.5305,-1.0266,0.8461,0.0352,0.2047,-0.6091,1.1167,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,-0.0100,2.5000,-2.5000,2.5000,-0.0100
0.4200,-0.0240,0.5557,-1.4190,0.7880,0.0356,0.2002,-0.5801,1.0537,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,0.0100,2.5000,-2.5000,2.5000,0.0064
